Comp ID,Date,Name,Sanction #,State,Results,Homepage
competitions-view?id=569,01/01/2012,2012 USAPL Militay National Powerlifting/Bench Press Championships,,,,
competitions-view?id=570,01/01/2012,2012 USAPL PA Single Lift State Championships,,,,
competitions-view?id=571,01/01/2012,2012 USAPL Southeastern USA Regional Powerlifting Championships,,,,
competitions-view?id=574,01/01/2012,2012 USAPLNC STATES,,,,
competitions-view?id=575,01/01/2012,29th Annual USAPL New Jersey State Open Powerlifting Championships,,,,
competitions-view?id=576,01/01/2012,29th USAPL New Jersey State Open Powerlifting Championships,,,,
competitions-view?id=577,01/01/2012,30th Annual USAPL Florida State Open Powerlifting Championships,,,,
competitions-view?id=578,01/01/2012,38th Annual MO State/Ozark,,,,
competitions-view?id=579,01/01/2012,9th Annual USAPL Florida Collegiate Championships,,,,
competitions-view?id=584,01/01/2012,BATTLE OF THE GREAT LAKES,,,,
competitions-view?id=585,01/01/2012,Big K 10th Annual PL Ch,,,,
competitions-view?id=587,01/01/2012,Brother Bennett Memorial,,,,
competitions-view?id=589,01/01/2012,Collegiate Nationals,,,,
competitions-view?id=590,01/01/2012,Fife Holiday Classic,,,,
competitions-view?id=591,01/01/2012,High_School_Nationals 3-23-2012,,,,
competitions-view?id=592,01/01/2012,HOLIDAY CLASSIC,,,,
competitions-view?id=593,01/01/2012,IL State/ Great Rivers,,,,
competitions-view?id=594,01/01/2012,LONGHORN OPEN,,,,
competitions-view?id=595,01/01/2012,MA SP OLYMPICS,,,,
competitions-view?id=596,01/01/2012,MA St Championship,,,,
competitions-view?id=601,01/01/2012,MI Ironman,,,,
competitions-view?id=602,01/01/2012,MI St PL & BP,,,,
competitions-view?id=603,01/01/2012,MI STATE,,,,
competitions-view?id=604,01/01/2012,Mid America DL,,,,
competitions-view?id=606,01/01/2012,MN State,,,,
competitions-view?id=608,01/01/2012,NC SC Border War,,,,
competitions-view?id=609,01/01/2012,NE Open HS,,,,
competitions-view?id=610,01/01/2012,NE Regionals,,,,
